Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"You use a standard closed hashtable with linear probing (to the right, i.e. in the direction of higher indices). The hash function has the form h(x) = x % 7 and the hash table has slots 0, � , 6. If you insert the elements 18,19,25,701,77,74,y in that order, where y is an unknown integer, what does the hashtable look like at the end?a) 77,701,74,y,18,19,25b) 77,25,701,y,18,19,74c) 77,701,y,19,18,25,74d) 77,18,19,701,25,74,ye) None of the above are correct
","77,701,74,y,18,19,25
","77,25,701,y,18,19,74
","77,701,y,19,18,25,74
","77,18,19,701,25,74,y
","None of the above are correct
","Standard hastable theory using Linear Probing. The unknown integer y makes no difference and goes in the only slot available, as it is at the end.
",
"Consider the following two lists:List X: List of integers from 1 to 100 (inclusive) in ascending orderList Y: Random permutation of list XWhich of the statements A-D is FALSE (on average)?
","Quicksort will sort list Y faster than it will sort list X
","Insertion sort will sort list X quicker than it will list Y
","Insertion sort will sort list X faster than Quicksort will
","Quicksort will sort list Y faster than Insertion sort will sort list X
","All of A-D are true
","A) True because nlogn < n2B) True because n < n2C) True because n < n2D) False because nlogn > n
",
"Which of the following statements about Dijkstra's algorithm is false?
","Its complexity is O(N^2)
","Dijkstra�s Algorithm can be applied on graphs which have negative weights
","The most commonly used data structure is a queue
","None
",,"A is true as it uses two nested loops, resulting in O(N^2) complexityB is falsebecause calculation of cost to reach a destination node from the source node becomes complex when we introduce negative weightsC is true
",
"In a linked list, insertion can be done...
","At the beginning
","In the middle
","At the end
","All of the above.
",,"Covered in lectures.
",
"Which of the following algorithms has the lowest complexity class
","for (int i=0 ; i < n+1000 ; i++){ int k = n; while (k > 1) { sum++; k = k/2; }}
","void foo( ){ int i, sum = 0; for (i=0 ; i < 10000*n*n ; i++) sum += i; for (i=0 ; i < 0.001*n*n*n ; i+=100) sum += i;}
","k = n;while (k > 1){ sum++; k = k/2;}
","Quicksort algorithm
","MergeSort algorithm
","Recall the order of complexities is as followsConstant: 1, Logarithmic: log(n), Log-squared: =log^2(n),Square root: sqrt(n),Linear: n, n log(n), Quadratic: n^2, Cubic: n^3...A has complexity n log(n)B has complexity n^3C has complexity log(n)QuickSort's complexity is n^2MergeSort's complexity is n log(n)Therefore the fastest algorithm is C
",
"A graph is a collection of nodes, called _____, and line segments called arcs or_____ that connect pairs of nodes.
","vertices, paths
","edges, vertices
","graph node, edges
","vertices, edges
",,"Definitions covered in slides - Lecture 17 slide 4/37
",
"Which of the following is a non-linear data structure?
","String
","List
","Tree
","Stack
",,"Covered in lectures.
",
"Which of the following statements about hash tables are true?
","Whenchoosing the exact size of your hash table (the number of buckets) you should use a prime number (eg 2021 instead of 2000)
","The higher the load factor of our table (open or closed) the more efficient open hash tables are in comparison to closed hash tables
","If we need to delete items from our tables you must never use a closed hashing table
","All the above
",,"A. Using a prime number of buckets will ensure the spreading of hash values, resulting in more even distribution and fewer collisions W10b s35B. The average number of steps for open table = 1 + L/2 (L is load factor) whereas for closed table =�(1+ 1/(1-L)), meaning that the higher the load factor the higher the difference between the number of steps for the two tables W10b s33C. W10b s22
",
"What is the runtime of the following code?for (int i=0; i < N; ++i) { for (int j=0; j < M/2; j=j*2) { System.out.println(j); if (i%2 == 0) { for (int k=0; k < 2*N; ++k) { System.out.println(i + "" is even""); } } }}
","
","
","
","
","
","The outermost loop undergoes O(N) iterations.The second loop undergoes iterates up to O(M), but increases logarithmically (thanks to the j=j*2) rather than linearly. Hence, this loop undergoes O(log(M)) iterations.Finally, the innermost loop undergoes O(N) iterations. The fact that this loop only executes for odd values of j is not relevant to the big theta approximation.Therefore, the overall runtime is that of answer A.
",
"An algorithm takes 60 seconds to process an input of n=100, 120 seconds for n=120 and 240 seconds for n=140.Which asymptotic complexity does it likely have?
","?(n^2)
","?(2^n)
","?(log(n))
","?(1)
",,,"tm694 (tm694)
"
"Given the following numbers: 6,2,18,34,13,14.When constructing a perfectly balancedbinary search tree from the numbers in that order, which number is its root?
","18
","6
","13
","34
","ALL
",,"tm694 (tm694)
"
"Selection Sort runs for 5 seconds for 100 records. How likely is it likely to run for 10,000 records?
","100 seconds
","500 seconds
","10 seconds
","50,000 seconds
","None of the above
",,"tm694 (tm694)
"
"Below is an incomplete code for the class LinkedList.Method 'Get' finds the ith element in the linked list. Which code must go at 'X' for the code to work.public Object get(int i){ if (i<0 || i>=n) { return error; } ListNode node = head; Xreturn node.element;}
","for (int j=0; j<0; j++){node = node.next;}
","for (int j=0; j<i; j--){node = node.next;}
","for (int j=0; j<i; j++){node = node.next;}
","for (int j=0; j<i; j++){node = node.prev;}
","for (int j=0; j<i; j++){head = node.next;}
",,"tm694 (tm694)
"
"Given a sorted array of length n of elements, what is the time complexity of implementing it into a Binary Search Tree (BST)?
","
","
","
","
",,"Since the input is sorted, the resulting tree will become very unbalanced meaning each node will only have a right child node. Thus every time an elements is inserted it must traverse the length of the entire tree. Hence, for an unsorted array of elements it would be quicker. See Week8a - Tree2 silde 14.
",
"You have to insert the element ""20"" in this skip list, p = 0.5, max lanes = 5:Which one of the following statements are true?
","The new element must point to ""30"" for each lane it exists on, apart from the lanes ""30"" doesn't exist on.
","There is a 15% chance that the new element will be on 3 lanes.
","The head values of the skip list must not be changed.
","The next values of the ""30"" element must be altered.
","It is not possible for the ""20"" element to point to NULL.
","""20"" goes before ""30"", therefore must point to ""30"" when it is inserted. The lanes can't ""skip over"" elements in the same lane, therefore every instance of ""20"" will point to a ""30"" on it's lane.This question is intended to be of high difficulty.Source: 2019, Week 3b, Slide 14-17
",
"Below is an example graph. Which of the following adjacency matrices represent this graph?
","
","
","
","
","None of the above
","See Moodle resource 'DA-Lecture17-Graphs1 TF 2019sem' for explanation on representing a graph as an adjacency matrix.
",
"What is the result of shell sorting the data set below with a gap size of 3.56 21 30 43 98 23
","23 98 43 30 21 56
","43 21 23 56 98 30
","30 21 56 23 98 43
","21 23 30 43 56 98
","None of the above.
","56 21 30 43 98 23 Original List43 21 30 56 98 23 Compare 56 and 43, and swap.43 21 30 56 98 23 Compare 21 and 98, no change.43 21 23 56 98 30 Compare 30 and 23, and swap.Then iterate once more through the list and no changes are made.
",
"For the following binary search tree:What is the output if we do a pre-order traversal on the tree?Image Source:https://www.gatevidyalay.com/binary-search-trees-data-structures/
","5 10 12 20 22 25 28 30 36 38 40 48
","5 12 10 22 20 28 30 38 48 40 36 25
","25 20 10 5 12 22 36 30 28 40 38 48
","48 40 38 36 30 28 25 22 20 12 10 5
",,"Pre - Order tree traversal:Process the current nodeProcess the left nodeProcess the right nodeThis question is intended to be of medium difficultySource: 2019, Week 7b, Slide 15
",
"Which nodes are visited when searching for ""c""?
","abdc
","bdc
","adebc
","bdec
",,"start at root node - bc>b, go right to d.d<c, go left to cc = c, therefore nodes visited are bdc
",
"Using Dijkstra's algorithm, starting at node S, state the order of nodestraversed before reaching the node B.
","S, A, E, C, B
","S, A, C, B
","S, A, E, C, D, F, B
","S, A, C, D, F, B
","None of the above.
","Dijkstra's algorithm will find the shortest path to an available node and take it, it will repeat this process until it has checked all possible paths and reached the destination.1. Starting at S we move to A is it is shorter Node: Distance A: 2 E: 3 C: 4 D: 5 F: 6 B: 7
",
"Below is an example binary tree. What is the pre-order traversal of this tree?
","1, 5, 13, 11, 2, 16, 23, 44, 22, 48, 50, 45, 21
","1, 2, 5, 11, 13, 16, 21, 22, 23, 44, 45, 48, 50
","21, 16, 2, 1, 11, 5, 13, 45, 22, 44, 23, 50, 48
","21, 16, 45, 2, 22, 50, 1, 11, 44, 48, 5, 13, 23
","None of the above
","Option A is post-order traversal (left, right, centre)Option B is in-order traversal (left, centre, right)Option C is pre-order traversal (center, left, right)Option D is level order traversal (traverse each node on current level then go down a level)Source: Moodle - Week7b-Trees1 (powerpoint)
",
"Which one of the following Big-Oh rules is incorrectly described?
","Transitivity: (""If A<= B, and B<= C, then also A<= C"")For example,If f(n) = O(g(n)), and g(n) = O(h(n)), then f(n) = O(h(n))
","Scaling: (""Constant factors matter"")For example,For all c>0, c*f(n) = c*O(f(n))
","Sums (""The bigger function dominates"")For example,If g(n) = O(f1(n)) and h(n) = O(f2(n)), then g(n) + h(n) = O(max{f1(n), f2(n})
","Products (""The effect of nested loops in an algorithm"")If g1(n) = O(f1(n)) and g2 = O(f2(n)), then g1(n)g2(n) = O(f1(n)f2(n))
",,"Constant factors don't matterFor example,for(int i = 0; i < 2*n; i++) m();has the same asymptotic bounds asfor(int i = 0; i < n; i++); m();This question is intended to be of low difficultySource: 2019, Week2b, Slide 6
",
